ticker,spot_price,strike_price,volatility,call_price,put_price
ADBE,319.13,319.13,0.36747748967349303,16.678102024924726,15.540384872005745
AMAT,46.15,46.15,0.4324608684042044,2.822799756050415,2.658272301385516
CSCO,41.43,41.43,0.23904776148843163,1.4355418416450405,1.2878414636002518
FAST,32.18,32.18,0.2422571429915423,1.1291963668505929,1.0144727809109035
MSFT,165.27,165.27,0.26786478730951524,6.379794423951907,5.7905971881454406
PAYX,65.29,65.29,0.23658228165681258,2.240208106003003,2.007445429620091
QCOM,70.95,70.95,0.3882209252461992,3.9096456267395894,3.6567047186469637
AXON,68.0,68.0,0.47825093869723306,4.585675774862615,4.343251789657565
MSTR,11.6,11.6,0.9356863755789272,1.5056807320559766,1.4643260522268777
PLTR,9.5,9.5,0.7133547408536848,0.9458471574563152,0.9119791006997247
APP,65.2,65.2,0.7660182867965913,6.959419409541038,6.7269775884326535
ARM,60.75,60.75,0.7757439404003248,6.564888402996505,6.348311092684636
LIN,175.92,175.92,0.22505101685888254,5.757875634351308,5.130710524391432
CCEP,41.87,41.87,0.27313910881565817,1.6465645579321517,1.497295554100745
DASH,189.51,189.51,0.59633260357247,15.840813616931356,15.165199360516482
MDB,132.45,132.45,0.6694649980930518,12.394105230825545,11.921913218466564
ROP,312.62,312.62,0.2147771715811061,9.791572651108055,8.677064029713875
TTD,19.0,19.0,0.670309665067997,1.7801290314036446,1.712392917890467
ON,12.87,12.87,0.5110349360947849,0.9256574210911941,0.8797751168325298
GEHC,60.0,60.0,0.3177729121983648,2.7268010651623307,2.512897548804929
BKR,11.75,11.75,0.3892858768319276,0.6491896597217206,0.6073002211017293
FANG,32.1,32.1,0.4967744395206519,2.246102057503956,2.1316636762527494
GFS,46.4,46.4,0.49411673902012687,3.2298233878527043,3.064404668536312
WBD,19.65,19.65,0.5476230525057251,1.5116562477335993,1.4416028461265533
AZN,44.31,44.31,0.24605166516131985,1.5778991314524795,1.4199313846225472
CEG,42.0,42.0,0.490628627909673,2.903494382751269,2.7537619213010913
ODFL,69.09,69.09,0.33643698491302665,3.316721581854587,3.0704116827690413
TEAM,136.86,136.86,0.5672037085227413,10.89496335771063,10.407049436899392
ABNB,144.71,144.71,0.48931682146452027,9.977936241086311,9.46203661021832
FTNT,21.58,21.58,0.43691672659509395,1.3331285132438815,1.256194548527338
PANW,28.56,28.56,0.4067512315801887,1.64629856718979,1.5444804934036682
ZS,63.31,63.31,0.5664011996616799,5.032949196683962,4.8072453363408485
DDOG,36.28,36.28,0.5719924003366262,2.911881097666285,2.7825407714421715
CRWD,59.07,59.07,0.5284581682137095,4.389348309012533,4.1787602971586715
HON,134.0,134.0,0.23124957819012767,4.49975256579657,4.022034712598391
AEP,78.59,78.59,0.21222287735032538,2.4339864132330433,2.153808457390909
NFLX,379.96,379.96,0.4593933914391124,24.642087111791312,23.287507443871988
KDP,24.59,24.59,0.19732091579376615,0.7113152857682188,0.6236504946477464
PDD,38.49,38.49,0.730790516514095,3.9236636036120522,3.786444497868782
DXCM,67.33,67.33,0.4975950270806186,4.7187785605526,4.47874316461354
ANSS,242.46,242.46,0.3223000843674329,11.169515719035772,10.305131609435492
CDW,95.84,95.84,0.2916829930181924,4.01271382474863,3.6710386079537543
CPRT,16.35,16.35,0.2680819691639219,0.6316338650150897,0.5733451568076964
CSGP,58.58,58.58,0.3345647608955433,2.7971432600498893,2.588302126912943
EXC,25.9,25.9,0.23188702138677755,0.8719927078780998,0.7796576899838215
AMD,47.52,47.52,0.5034530587747036,3.368506582082887,3.199094997127819
LULU,194.95,194.95,0.39452839719629285,10.911083340813263,10.21607516558197
XEL,61.15,61.15,0.21881528991487578,1.9491460681199584,1.731142734365708
PEP,131.16,131.16,0.17464702827580442,3.386289634036359,2.918696547279083
ASML,271.13,271.13,0.4108163898148678,15.779902825457611,14.813308485624574
SNPS,135.91,135.91,0.34800020656728,6.739931380587663,6.2554042654521
TTWO,121.29,121.29,0.3292285110010431,5.702747616417021,5.270341658100527
WDAY,130.31,130.31,0.38418606873258493,7.1085753770885916,6.644012590146382
MELI,506.16,506.16,0.5197125440825969,37.00588211024538,35.20139204625437
IDXX,254.43,254.43,0.3294791584192813,11.971396139137553,11.06433827802394
CSX,20.42,20.42,0.24495867036314994,0.7241042208826016,0.6513057241489637
TMUS,86.09,86.09,0.24353957091895306,3.036041302656031,2.7291254072692226
PYPL,101.67,101.67,0.43380308188268507,6.237415405499107,5.874955897031477
KHC,25.91,25.91,0.22839614083637977,0.8599238437768033,0.7675531752964648
GOOG,59.35,59.35,0.3073055525988297,2.6120717882045525,2.4004855599410213
NXPI,86.94,86.94,0.3997470483130611,4.928085805473245,4.6181396102713705
MAR,70.59,70.59,0.346663580402044,3.4877030645887146,3.2360455775942256
CHTR,459.549988,459.549988,0.3387681809307767,22.207951567622786,20.56962892803614
TSLA,34.42,34.42,0.6365614729842414,3.0662667260966945,2.9435574088796663
EA,106.51,106.51,0.2531406088364464,3.896428914157191,3.516714522036743
MRVL,23.84,23.84,0.548085117502816,1.835495617594571,1.7505046204285648
REGN,504.27,504.27,0.28811560914161466,20.866511399074966,19.068759295849162
VRSK,147.74,147.74,0.2302482266536601,4.940854336628121,4.414152578184115
META,165.55,165.55,0.44054313217393576,10.309266473170666,9.719071020954544
ADI,95.8,95.8,0.31937331582297585,4.3748158563457835,4.033283241895127
MDLZ,52.03,52.03,0.18719226200197908,1.4328069586499055,1.2473169593819762
TXN,177.18,177.18,0.2868149340841653,7.300039223195654,6.668382139392222
AVGO,25.24,25.24,0.39406821924408925,1.4110564021035508,1.3210743228892028
BKNG,1356.68,1356.68,0.34448674193648815,66.62581310487371,61.78916939534429
ADP,139.65,139.65,0.23147291477095605,4.693758686117832,4.195898251795953
ORLY,333.43,333.43,0.22689266727660617,10.997411641242877,9.808714150258794
ROST,87.18,87.18,0.33185898587981605,4.130425294801981,3.8196234855346773
MNST,29.04,29.04,0.24565337279126112,1.0325411090961119,0.9290118071791298
VRTX,255.3,255.3,0.2957256479791331,10.830667985658422,9.920508523557658
ISRG,166.75,166.75,0.32930600552188516,7.841933115166185,7.247459592622917
CDNS,69.42,69.42,0.34858625521493924,3.4481941775270357,3.200707809101523
GOOGL,59.16,59.16,0.3081736908972471,2.610752582060247,2.3998437149318512
CTSH,48.45,48.45,0.272096949825274,1.8984021190915215,1.7256750296329173
ADSK,152.32,152.32,0.3606580490846969,7.818032587496461,7.275002860637159
AMGN,211.58,211.58,0.2347918234853952,7.207702044711283,6.453406944862962
LRCX,25.08,25.08,0.45256368459611557,1.6030921601422587,1.513680490304866
CMCSA,36.23,36.23,0.26475808005569856,1.3831221352855572,1.2539600619917444
GILD,77.73,77.73,0.23907298776862032,2.693599074628885,2.4164870691878804
NVDA,6.71,6.71,0.5211891568742367,0.49193070332809086,0.4680091600821217
AMZN,99.88,99.88,0.3533825795734046,5.026862000775132,4.670783947212179
MCHP,36.99,36.99,0.4125892958078884,2.1618219600321424,2.0299504421978014
SBUX,67.79,67.79,0.30749252019943285,2.9852654022368057,2.743590079339004
MU,46.37,46.37,0.4622375999004921,3.0253594011188696,2.8600476335606615
INTU,240.12,240.12,0.34534321557622505,11.820356973545572,10.96431510108323
BIIB,311.39,311.39,0.4189445647924386,18.46982791201239,17.359704312703542
AAPL,65.62,65.62,0.2891552159445018,2.7246878556168,2.4907487098939285
COST,305.12,305.12,0.22649964368631548,10.047224775808075,8.959454093958584
CTAS,44.87,44.87,0.2631015846203743,1.7027698330047656,1.5428056533554866
INTC,58.43,58.43,0.42839306362513146,3.5413565027056677,3.333050128359613
KLAC,148.5,148.5,0.42267182481159715,8.883977751095443,8.354566548110867
PCAR,43.29,43.29,0.2554820978216924,1.597569960882062,1.4432385738302038
